Field,Value 1,Value 2,Value 3,Value 4
Benchmark,MADRA_LIB_P1_P10_OPEN_RECONSTRUCTION,MADRA_OPEN_P6_single,MADRA_OPEN_P6,P6
Protocol,single,1,single or multi3 attempt policy,1
