Mode,Samples,Full success,Mean modeling time (s),Interpretation
single,10,6/10 (60.0%),364.1,"Failures concentrated at P5, P6, P7 and P9"
multi3,10,10/10 (100.0%),449.6,All sampled multi3 cases closed the full contract
