Split,Batch records,Completed terminals,Real LLM calls,Tokens,Repair attempts,Repair closure,Correct abstention,Post-evaluation quality signals,Archived exception,Solver calls
Formal F2,72,71,677,"6,738,180",57,57/57,14,22,1,0
Stress F3,18,18,165,"1,652,101",13,13/13,5,12,0,0
