ID,Verified source reference,Venue and year,DOI
P001,"Y. Wang, J. Wang, J.-K. Hao, and J. Feng, “Efficient Adaptive Large Neighborhood Search for Sensor-Weapon-Target Assignment”","IEEE TSMC: Systems, 2024",10.1109/TSMC.2024.3431033
P002,"X. Yi, H. Yu, and T. Xu, “Solving multi-objective weapon-target assignment considering reliability by improved MOEA/D-AM2M”","Neurocomputing, 2024",10.1016/j.neucom.2023.126906
P003,"B. Yang, T. Wang, B. Li, F. Luo, and C. Gao, “A Vehicle-Target Assignment Framework: Collaborative Missions of Multiple High-Speed Flight Vehicles With Multiple Targets”","IEEE TAES, 2025",10.1109/TAES.2025.3595106
P004,"C. Arslan, O. Karasakal, and O. Kirca, “Solution Approaches for the Dynamic Naval Air Defense Planning Problem”","IEEE TSMC: Systems, 2026",10.1109/TSMC.2025.3648686
P005,"X. Chang, J. Shi, Z. Luo, and Y. Liu, “Adaptive large neighborhood search algorithm for multi-stage weapon target assignment problem”","Computers & Industrial Engineering, 2023",10.1016/j.cie.2023.109303
P006,"S. Tashakori, M. Ranjbar, S. Balochian, J. Sharif-Razavian, and M. Peymankar, “Dynamic soft-kill weapon-target assignment in naval environments”","Computers & Industrial Engineering, 2024",10.1016/j.cie.2024.110606
P007,"G. He, A. Chen, L. Xuan, X. Li, H. Chang, G. Yuan, J. Bai, Y. Niu, and M. Liu, “Modelling and simulation of distributed target allocation based on improved NSGA-II in multi-UUV collaborative attack”","Applied Soft Computing, 2025",10.1016/j.asoc.2025.114174
P008,"W. Li, X. Yao, K. Li, R. Wang, and T. Zhang, “Knowledge-guided Competitive Evolutionary Algorithm for Multi-solution Sensor-Weapon-Target Assignment Problem”","IEEE TEC, 2026",10.1109/TEVC.2026.3653800
P009,"N. Zheng, R. Wang, K. Li, W. Li, T. Luo, and H. Wang, “Large-Scale Multi-Objective Sensor-Weapon-Target Assignment Optimization: Benchmark Suites and Knowledge-Driven Heuristics”","IEEE TEC, 2026",10.1109/TEVC.2026.3683727
