Field,Value 1,Value 2,Value 3,Value 4
Benchmark,SWTA_MOP1_5,MultiSWTA2_Type1_NT50_NS8_NC6_NV8_NW6_O4,MultiSWTA2_Type1_NT50_NS8_NC6_NV8_NW6,MOP2
Objective count,4,four objective variants are available,F1-F4,public multi-objective assignment
